entry_id,code,role
140,111339,examples
141,111339,validation
142,111339,test
143,111339,training
144,111339,training
145,111339,test
146,111339,training
147,111339,examples
148,111339,validation
149,111339,examples
150,111339,examples
151,111339,test
152,111339,examples
153,111339,training
154,111339,training
155,111339,training
156,111339,examples
157,111339,training
158,111339,examples
159,111339,validation
160,111339,validation
161,111339,examples
162,111339,validation
163,111411,training
164,111411,examples
165,111411,validation
166,111419,validation
167,111419,training
168,111419,validation
169,111419,validation
170,111419,examples
171,111419,training
172,111419,test
173,111419,test
174,111419,validation
175,111419,examples
176,111419,training
177,111419,training
178,111419,training
179,111419,examples
180,111419,training
181,111419,test
182,111419,examples
183,111419,examples
184,111419,examples
185,111419,examples
186,111419,training
187,111419,training
188,111421,validation
189,111421,training
190,111421,test
191,111421,validation
192,111421,training
193,111421,test
194,111421,test
195,111421,examples
196,111421,examples
197,111421,training
198,111421,training
199,111421,examples
200,111421,examples
201,111421,validation
202,111421,training
203,111421,examples
204,111421,validation
205,111421,training
206,111422,training
207,111422,test
208,111422,training
209,111422,training
210,111422,validation
211,111422,examples
212,111422,examples
213,111422,examples
214,111422,validation
215,111422,training
216,111422,training
217,111422,examples
218,111422,validation
219,111422,test
220,111910,examples
221,111920,examples
222,111920,training
223,111930,training
224,111930,examples
225,111940,training
226,111940,test
227,111940,training
228,111940,examples
229,111940,validation
230,111991,examples
231,111992,examples
232,111998,training
233,111998,training
234,111998,test
235,111998,examples
236,111998,validation
237,111998,test
238,111998,validation
239,111998,examples
240,111998,examples
241,111998,validation
242,111998,examples
243,111998,examples
244,111998,examples
245,111998,validation
246,111998,training
247,111998,training
248,111998,training
249,111998,examples
250,111998,test
251,111998,test
252,111998,training
253,111998,training
254,111998,test
255,111998,training
256,111998,validation
257,111998,training
258,111998,training
259,111998,training
260,111998,examples
261,111998,validation
262,111998,examples
263,112111,training
264,112111,examples
265,112111,validation
266,112111,test
267,112111,training
268,112111,examples
269,112111,examples
270,112111,validation
271,112111,training
272,112112,examples
273,112112,training
274,112112,validation
275,112112,test
276,112112,training
277,112120,examples
278,112120,validation
279,112120,training
280,112210,validation
281,112210,examples
282,112210,training
283,112210,test
284,112210,training
285,112210,training
286,112210,validation
287,112210,examples
288,112310,examples
289,112310,training
290,112310,validation
291,112310,examples
292,112310,training
293,112310,test
294,112310,training
295,112320,training
296,112320,validation
297,112320,test
298,112320,examples
299,112320,training
300,112330,examples
301,112330,training
302,112330,training
303,112340,validation
304,112340,training
305,112340,examples
306,112340,training
307,112340,test
308,112390,examples
309,112390,validation
310,112390,training
311,112390,test
312,112390,test
313,112390,training
314,112390,examples
315,112390,examples
316,112390,training
317,112390,validation
318,112410,examples
319,112410,training
320,112410,training
321,112410,test
322,112410,validation
323,112420,validation
324,112420,training
325,112420,training
326,112420,test
327,112420,examples
328,112511,examples
329,112511,training
330,112511,examples
331,112511,training
332,112511,validation
333,112511,examples
334,112511,training
335,112511,training
336,112511,test
337,112511,validation
338,112511,validation
339,112511,examples
340,112511,test
341,112512,test
342,112512,validation
343,112512,test
344,112512,validation
345,112512,training
346,112512,examples
347,112512,training
348,112512,training
349,112512,training
350,112512,examples
351,112512,examples
352,112519,validation
353,112519,test
354,112519,training
355,112519,examples
356,112519,training
357,112519,training
358,112519,validation
359,112519,examples
360,112910,validation
361,112910,test
362,112910,examples
363,112910,training
364,112910,examples
365,112910,training
366,112910,training
367,112920,validation
368,112920,examples
369,112920,training
370,112920,training
371,112920,test
372,112930,validation
373,112930,training
374,112930,examples
375,112930,test
376,112930,training
377,112990,test
378,112990,test
379,112990,training
380,112990,training
381,112990,examples
382,112990,examples
383,112990,validation
384,112990,examples
385,112990,validation
386,112990,examples
387,112990,validation
388,112990,training
389,112990,training
390,112990,training
391,112990,test
392,112990,training
393,112990,validation
394,112990,training
395,112990,examples
396,112990,examples
397,112990,examples
398,112990,training
399,113110,examples
400,113210,validation
401,113210,test
402,113210,examples
403,113210,examples
404,113210,validation
405,113210,training
406,113210,examples
407,113210,training
408,113210,examples
409,113210,examples
410,113210,training
411,113210,examples
412,113210,validation
413,113210,training
414,113210,training
415,113210,training
416,113210,examples
417,113210,validation
418,113210,validation
419,113210,test
420,113210,training
421,113210,training
422,113210,test
423,113210,test
424,113310,examples
425,113310,training
426,113310,examples
427,113310,training
428,113310,examples
429,113310,validation
430,113310,validation
431,113310,test
432,113310,training
433,113310,training
434,113310,test
435,114111,training
436,114111,validation
437,114111,training
438,114111,examples
439,114111,test
440,114111,test
441,114111,validation
442,114111,validation
443,114111,examples
444,114111,examples
445,114111,test
446,114111,examples
447,114111,training
448,114111,test
449,114111,examples
450,114111,validation
451,114111,training
452,114111,validation
453,114111,validation
454,114111,validation
455,114111,training
456,114111,examples
457,114111,examples
458,114111,validation
459,114111,training
460,114111,examples
461,114111,training
462,114111,examples
463,114111,examples
464,114111,test
465,114111,examples
466,114111,training
467,114111,training
468,114111,training
469,114111,test
470,114111,training
471,114111,training
472,114111,training
473,114112,test
474,114112,test
475,114112,training
476,114112,examples
477,114112,examples
478,114112,examples
479,114112,validation
480,114112,training
481,114112,examples
482,114112,training
483,114112,validation
484,114112,validation
485,114112,training
486,114119,training
487,114119,validation
488,114119,training
489,114119,test
490,114119,examples
491,114210,test
492,114210,examples
493,114210,training
494,114210,validation
495,114210,examples
496,114210,training
497,115111,training
498,115111,examples
499,115112,training
500,115112,examples
501,115112,validation
502,115112,examples
503,115112,examples
504,115112,examples
505,115112,examples
506,115112,training
507,115112,examples
508,115112,examples
509,115112,training
510,115112,validation
511,115112,test
512,115112,validation
513,115112,test
514,115112,training
515,115112,training
516,115112,examples
517,115112,test
518,115112,training
519,115112,validation
520,115112,examples
521,115112,training
522,115112,test
523,115112,validation
524,115112,training
525,115112,training
526,115112,training
527,115112,validation
528,115113,validation
529,115113,test
530,115113,training
531,115113,training
532,115113,training
533,115113,validation
534,115113,examples
535,115113,examples
536,115113,training
537,115113,validation
538,115113,examples
539,115113,test
540,115113,examples
541,115114,training
542,115114,validation
543,115114,training
544,115114,validation
545,115114,test
546,115114,examples
547,115114,validation
548,115114,test
549,115114,examples
550,115114,examples
551,115114,examples
552,115114,validation
553,115114,test
554,115114,examples
555,115114,test
556,115114,training
557,115114,training
558,115114,training
559,115114,examples
560,115114,examples
561,115114,validation
562,115114,examples
563,115114,training
564,115114,test
565,115114,training
566,115114,examples
567,115114,examples
568,115114,training
569,115114,training
570,115114,examples
571,115114,validation
572,115114,training
573,115114,examples
574,115114,training
575,115114,training
576,115114,training
577,115114,validation
578,115114,validation
579,115114,training
580,115114,training
581,115114,examples
582,115114,test
583,115115,test
584,115115,validation
585,115115,examples
586,115115,training
587,115116,examples
588,115116,training
589,115210,test
590,115210,validation
591,115210,training
592,115210,examples
593,115210,examples
594,115210,training
595,115210,training
596,115210,validation
597,115210,training
598,115210,test
599,115210,validation
600,115210,examples
601,115210,training
602,115210,training
603,115210,training
604,115210,examples
605,115210,validation
606,115210,test
607,115210,training
608,115210,examples
609,115210,examples
610,115210,validation
611,115210,training
612,115210,examples
613,115210,test
614,115210,examples
615,115210,examples
616,115210,validation
617,115210,training
618,115210,training
619,115310,validation
620,115310,test
621,115310,examples
622,115310,test
623,115310,examples
624,115310,validation
625,115310,examples
626,115310,training
627,115310,training
628,115310,examples
629,115310,training
630,115310,validation
631,115310,training
632,211120,training
633,211120,test
634,211120,examples
635,211120,examples
636,211120,validation
637,211120,validation
638,211120,test
639,211120,training
640,211120,examples
641,211120,training
642,211120,validation
643,211120,examples
644,211120,training
645,211120,training
646,211130,training
647,211130,examples
648,211130,examples
649,211130,examples
650,211130,training
651,211130,validation
652,211130,examples
653,211130,training
654,211130,validation
655,211130,validation
656,211130,examples
657,211130,validation
658,211130,examples
659,211130,test
660,211130,test
661,211130,test
662,211130,validation
663,211130,test
664,211130,examples
665,211130,training
666,211130,training
667,211130,training
668,211130,examples
669,211130,training
670,211130,examples
671,211130,training
672,211130,training
673,211130,training
674,211130,training
675,211130,validation
676,211130,test
677,211130,examples
678,211130,validation
679,211130,training
680,211130,examples
681,212114,test
682,212114,training
683,212114,training
684,212114,training
685,212114,examples
686,212114,test
687,212114,training
688,212114,examples
689,212114,examples
690,212114,validation
691,212114,validation
692,212114,examples
693,212114,test
694,212114,examples
695,212114,training
696,212114,validation
697,212114,training
698,212115,training
699,212115,examples
700,212115,training
701,212115,training
702,212115,test
703,212115,validation
704,212115,examples
705,212210,examples
706,212210,training
707,212210,validation
708,212210,test
709,212210,test
710,212210,validation
711,212210,training
712,212210,examples
713,212210,validation
714,212210,examples
715,212210,examples
716,212210,training
717,212210,training
718,212210,training
719,212210,examples
720,212220,training
721,212220,examples
722,212220,test
723,212220,examples
724,212220,training
725,212220,validation
726,212220,examples
727,212220,training
728,212220,training
729,212220,examples
730,212220,test
731,212220,training
732,212220,examples
733,212220,validation
734,212220,validation
735,212230,validation
736,212230,test
737,212230,test
738,212230,examples
739,212230,validation
740,212230,examples
741,212230,training
742,212230,test
743,212230,examples
744,212230,validation
745,212230,validation
746,212230,validation
747,212230,test
748,212230,training
749,212230,training
750,212230,examples
751,212230,training
752,212230,training
753,212230,training
754,212230,training
755,212230,examples
756,212230,examples
757,212230,training
758,212230,examples
759,212230,training
760,212230,examples
761,212290,test
762,212290,validation
763,212290,training
764,212290,training
765,212290,training
766,212290,test
767,212290,validation
768,212290,training
769,212290,test
770,212290,training
771,212290,test
772,212290,training
773,212290,validation
774,212290,training
775,212290,validation
776,212290,training
777,212290,examples
778,212290,training
779,212290,training
780,212290,examples
781,212290,examples
782,212290,examples
783,212290,training
784,212290,test
785,212290,examples
786,212290,validation
787,212290,training
788,212290,training
789,212290,validation
790,212290,examples
791,212290,test
792,212290,test
793,212290,validation
794,212290,examples
795,212290,examples
796,212290,training
797,212290,training
798,212290,training
799,212290,examples
800,212290,examples
801,212290,examples
802,212290,test
803,212290,training
804,212290,validation
805,212290,training
806,212290,validation
807,212290,validation
808,212290,examples
809,212290,validation
810,212290,training
811,212290,test
812,212290,training
813,212290,examples
814,212290,training
815,212290,examples
816,212290,test
817,212290,test
818,212290,examples
819,212290,examples
820,212290,validation
821,212290,validation
822,212290,examples
823,212290,examples
824,212290,training
825,212290,examples
826,212290,examples
827,212290,validation
828,212290,training
829,212290,examples
830,212290,training
831,212290,examples
832,212290,training
833,212290,validation
834,212290,training
835,212311,examples
836,212311,validation
837,212311,validation
838,212311,training
839,212311,training
840,212311,training
841,212311,examples
842,212311,validation
843,212311,test
844,212311,examples
845,212311,examples
846,212311,test
847,212311,examples
848,212311,test
849,212311,training
850,212311,examples
851,212311,examples
852,212311,examples
853,212311,validation
854,212311,examples
855,212311,training
856,212311,training
857,212311,training
858,212311,training
859,212311,validation
860,212311,validation
861,212311,training
862,212311,training
863,212311,training
864,212311,test
865,212312,test
866,212312,training
867,212312,validation
868,212312,training
869,212312,examples
870,212312,validation
871,212312,examples
872,212312,training
873,212312,examples
874,212312,training
875,212312,training
876,212312,test
877,212312,examples
878,212312,examples
879,212312,validation
880,212313,test
881,212313,validation
882,212313,training
883,212313,training
884,212313,examples
885,212313,examples
886,212313,training
887,212319,validation
888,212319,training
889,212319,training
890,212319,examples
891,212319,examples
892,212319,examples
893,212319,examples
894,212319,training
895,212319,examples
896,212319,test
897,212319,examples
898,212319,training
899,212319,training
900,212319,training
901,212319,test
902,212319,test
903,212319,examples
904,212319,training
905,212319,examples
906,212319,training
907,212319,validation
908,212319,validation
909,212319,test
910,212319,validation
911,212319,training
912,212319,validation
913,212321,validation
914,212321,examples
915,212321,test
916,212321,examples
917,212321,training
918,212321,training
919,212321,training
920,212322,examples
921,212322,examples
922,212322,training
923,212322,validation
924,212322,validation
925,212322,validation
926,212322,test
927,212322,training
928,212322,examples
929,212322,test
930,212322,training
931,212322,training
932,212322,training
933,212322,examples
934,212323,training
935,212323,training
936,212323,examples
937,212323,examples
938,212323,examples
939,212323,test
940,212323,examples
941,212323,examples
942,212323,training
943,212323,training
944,212323,examples
945,212323,validation
946,212323,examples
947,212323,validation
948,212323,training
949,212323,test
950,212323,training
951,212323,test
952,212323,validation
953,212323,validation
954,212323,examples
955,212323,training
956,212323,examples
957,212323,training
958,212323,validation
959,212323,training
960,212323,validation
961,212323,test
962,212323,test
963,212323,training
964,212323,examples
965,212323,validation
966,212323,training
967,212323,validation
968,212323,examples
969,212323,training
970,212323,test
971,212323,examples
972,212323,validation
973,212323,examples
974,212323,training
975,212323,training
976,212323,training
977,212390,training
978,212390,training
979,212390,validation
980,212390,training
981,212390,test
982,212390,validation
983,212390,validation
984,212390,test
985,212390,examples
986,212390,training
987,212390,test
988,212390,training
989,212390,examples
990,212390,training
991,212390,validation
992,212390,examples
993,212390,validation
994,212390,training
995,212390,validation
996,212390,examples
997,212390,validation
998,212390,test
999,212390,training
1000,212390,examples
1001,212390,examples
1002,212390,examples
1003,212390,training
1004,212390,examples
1005,212390,validation
1006,212390,training
1007,212390,validation
1008,212390,training
1009,212390,examples
1010,212390,training
1011,212390,training
1012,212390,validation
1013,212390,examples
1014,212390,validation
1015,212390,examples
1016,212390,examples
1017,212390,training
1018,212390,examples
1019,212390,examples
1020,212390,test
1021,212390,examples
1022,212390,validation
1023,212390,training
1024,212390,validation
1025,212390,test
1026,212390,training
1027,212390,training
1028,212390,examples
1029,212390,validation
1030,212390,test
1031,212390,examples
1032,212390,training
1033,212390,training
1034,212390,examples
1035,212390,examples
1036,212390,test
1037,212390,test
1038,212390,examples
1039,212390,training
1040,212390,examples
1041,212390,training
1042,212390,training
1043,212390,examples
1044,212390,validation
1045,212390,training
1046,212390,training
1047,212390,training
1048,212390,examples
1049,212390,training
1050,212390,training
1051,212390,examples
1052,212390,validation
1053,212390,training
1054,212390,training
1055,212390,examples
1056,212390,validation
1057,212390,test
1058,212390,training
1059,212390,training
1060,212390,training
1061,212390,training
1062,212390,training
1063,212390,examples
1064,212390,test
1065,212390,examples
1066,212390,training
1067,212390,test
1068,212390,training
1069,212390,validation
1070,212390,validation
1071,212390,training
1072,212390,examples
1073,212390,test
1074,212390,training
1075,212390,examples
1076,212390,test
1077,212390,examples
1078,212390,training
1079,212390,training
1080,212390,validation
1081,212390,examples
1082,212390,training
1083,212390,validation
1084,212390,training
1085,212390,validation
1086,212390,test
1087,212390,training
1088,212390,examples
1089,212390,test
1090,212390,training
1091,212390,training
1092,212390,examples
1093,212390,validation
1094,212390,test
1095,212390,validation
1096,212390,validation
1097,212390,test
1098,212390,examples
1099,212390,validation
1100,212390,test
1101,212390,training
1102,212390,examples
1103,212390,examples
1104,212390,examples
1105,212390,examples
1106,212390,training
1107,212390,test
1108,212390,training
1109,212390,training
1110,212390,test
1111,212390,training
1112,212390,validation
1113,212390,examples
1114,212390,validation
1115,212390,validation
1116,212390,test
1117,212390,examples
1118,212390,examples
1119,212390,training
1120,212390,examples
1121,212390,examples
1122,212390,examples
1123,212390,validation
1124,212390,training
1125,212390,examples
1126,213111,validation
1127,213111,test
1128,213111,examples
1129,213111,training
1130,213111,training
1131,213111,training
1132,213111,training
1133,213111,training
1134,213111,test
1135,213111,test
1136,213111,validation
1137,213111,validation
1138,213111,examples
1139,213111,examples
1140,213111,examples
1141,213111,training
1142,213111,validation
1143,213111,examples
1144,213112,examples
1145,213112,training
1146,213112,test
1147,213112,examples
1148,213112,training
1149,213112,test
1150,213112,validation
1151,213112,examples
1152,213112,training
1153,213112,examples
1154,213112,examples
1155,213112,training
1156,213112,training
1157,213112,examples
1158,213112,examples
1159,213112,training
1160,213112,test
1161,213112,training
1162,213112,examples
1163,213112,validation
1164,213112,training
1165,213112,test
1166,213112,test
1167,213112,validation
1168,213112,examples
1169,213112,validation
1170,213112,examples
1171,213112,training
1172,213112,training
1173,213112,training
1174,213112,training
1175,213112,training
1176,213112,training
1177,213112,test
1178,213112,examples
1179,213112,validation
1180,213112,test
1181,213112,validation
1182,213112,test
1183,213112,training
1184,213112,training
1185,213112,validation
1186,213112,examples
1187,213112,training
1188,213112,training
1189,213112,examples
1190,213112,training
1191,213112,validation
1192,213112,validation
1193,213112,examples
1194,213112,examples
1195,213112,examples
1196,213112,validation
1197,213112,training
1198,213112,examples
1199,213112,validation
1200,213112,test
1201,213112,training
1202,213112,validation
1203,213112,validation
1204,213112,training
1205,213112,test
1206,213112,examples
1207,213112,training
1208,213112,test
1209,213112,examples
1210,213112,training
1211,213112,validation
1212,213112,examples
1213,213112,examples
1214,213113,validation
1215,213113,training
1216,213113,examples
1217,213113,examples
1218,213113,test
1219,213113,validation
1220,213113,training
1221,213113,validation
1222,213113,training
1223,213113,training
1224,213113,validation
1225,213113,validation
1226,213113,examples
1227,213113,examples
1228,213113,examples
1229,213113,training
1230,213113,test
1231,213113,training
1232,213113,training
1233,213113,examples
1234,213113,training
1235,213113,training
1236,213113,test
1237,213113,test
1238,213113,examples
1239,213113,examples
1240,213114,test
1241,213114,training
1242,213114,examples
1243,213114,validation
1244,213114,examples
1245,213114,training
1246,213114,training
1247,213114,test
1248,213114,test
1249,213114,training
1250,213114,examples
1251,213114,training
1252,213114,examples
1253,213114,validation
1254,213114,examples
1255,213114,training
1256,213114,validation
1257,213115,training
1258,213115,validation
1259,213115,training
1260,213115,validation
1261,213115,validation
1262,213115,training
1263,213115,examples
1264,213115,test
1265,213115,examples
1266,213115,examples
1267,213115,training
1268,213115,examples
1269,213115,examples
1270,213115,test
1271,213115,training
1272,221111,examples
1273,221111,training
1274,221111,training
1275,221112,training
1276,221112,examples
1277,221113,training
1278,221113,examples
1279,221114,examples
1280,221114,training
1281,221114,validation
1282,221115,examples
1283,221115,training
1284,221116,training
1285,221116,training
1286,221116,examples
1287,221117,training
1288,221117,training
1289,221117,examples
1290,221118,training
1291,221118,examples
1292,221121,training
1293,221121,examples
1294,221121,validation
1295,221122,training
1296,221122,examples
1297,221122,training
1298,221210,validation
1299,221210,test
1300,221210,examples
1301,221210,training
1302,221210,validation
1303,221210,training
1304,221210,training
1305,221210,examples
1306,221210,test
1307,221210,examples
1308,221210,training
1309,221210,examples
1310,221210,validation
1311,221210,training
1312,221310,validation
1313,221310,test
1314,221310,training
1315,221310,examples
1316,221310,validation
1317,221310,training
1318,221310,examples
1319,221310,training
1320,221310,examples
1321,221310,training
1322,221320,training
1323,221320,test
1324,221320,validation
1325,221320,examples
1326,221320,training
1327,221330,examples
1328,221330,training
1329,221330,examples
1330,221330,examples
1331,221330,examples
1332,221330,test
1333,221330,training
1334,221330,training
1335,221330,validation
1336,221330,training
1337,221330,test
1338,221330,validation
1339,221330,validation
1340,236115,validation
1341,236115,test
1342,236115,validation
1343,236115,training
1344,236115,examples
1345,236115,training
1346,236115,test
1347,236115,training
1348,236115,examples
1349,236115,validation
1350,236115,training
1351,236115,training
1352,236115,validation
1353,236115,test
1354,236115,training
1355,236115,validation
1356,236115,examples
1357,236115,examples
1358,236115,examples
1359,236115,examples
1360,236115,test
1361,236115,training
1362,236115,training
1363,236115,examples
1364,236116,training
1365,236116,examples
1366,236116,test
1367,236116,validation
1368,236116,validation
1369,236116,examples
1370,236116,training
1371,236116,examples
1372,236116,test
1373,236116,training
1374,236116,test
1375,236116,training
1376,236116,training
1377,236116,examples
1378,236116,examples
1379,236116,training
1380,236116,validation
1381,236117,training
1382,236117,examples
1383,236117,validation
1384,236117,examples
1385,236117,training
1386,236117,test
1387,236117,test
1388,236117,validation
1389,236117,training
1390,236117,training
1391,236117,training
1392,236117,examples
1393,236117,training
1394,236117,training
1395,236117,training
1396,236117,examples
1397,236117,training
1398,236117,examples
1399,236117,examples
1400,236117,validation
1401,236117,training
1402,236117,training
1403,236117,examples
1404,236117,examples
1405,236117,test
1406,236117,validation
1407,236117,validation
1408,236117,training
1409,236117,test
1410,236117,test
1411,236117,examples
1412,236117,examples
1413,236117,validation
1414,236117,validation
1415,236117,examples
1416,236118,validation
1417,236118,validation
1418,236118,training
1419,236118,examples
1420,236118,test
1421,236118,validation
1422,236118,examples
1423,236118,training
1424,236118,examples
1425,236118,training
1426,236118,examples
1427,236118,training
1428,236118,test
1429,236118,training
1430,236118,examples
1431,236118,examples
1432,236118,test
1433,236118,examples
1434,236118,validation
1435,236118,examples
1436,236118,training
1437,236118,training
1438,236118,training
1439,236118,training
1440,236118,validation
1441,236118,test
1442,236118,training
1443,236118,validation
1444,236210,test
1445,236210,validation
1446,236210,validation
1447,236210,validation
1448,236210,training
1449,236210,test
1450,236210,training
1451,236210,examples
1452,236210,examples
1453,236210,examples
1454,236210,test
1455,236210,examples
1456,236210,validation
1457,236210,validation
1458,236210,examples
1459,236210,test
1460,236210,training
1461,236210,examples
1462,236210,training
1463,236210,training
1464,236210,examples
1465,236210,examples
1466,236210,training
1467,236210,training
1468,236210,examples
1469,236210,training
1470,236210,test
1471,236210,training
1472,236210,training
1473,236210,training
1474,236210,examples
1475,236210,examples
1476,236210,validation
1477,236210,training
1478,236210,training
1479,236210,training
1480,236210,examples
1481,236210,training
1482,236210,training
1483,236210,validation
1484,236210,test
1485,236210,test
1486,236210,validation
1487,236210,validation
1488,236210,examples
1489,236220,training
1490,236220,validation
1491,236220,validation
1492,236220,training
1493,236220,examples
1494,236220,training
1495,236220,validation
1496,236220,test
1497,236220,training
1498,236220,validation
1499,236220,examples
1500,236220,validation
1501,236220,test
1502,236220,validation
1503,236220,test
1504,236220,test
1505,236220,validation
1506,236220,training
1507,236220,training
1508,236220,validation
1509,236220,validation
1510,236220,training
1511,236220,examples
1512,236220,examples
1513,236220,examples
1514,236220,validation
1515,236220,training
1516,236220,examples
1517,236220,validation
1518,236220,test
1519,236220,test
1520,236220,validation
1521,236220,training
1522,236220,test
1523,236220,training
1524,236220,training
1525,236220,training
1526,236220,examples
1527,236220,test
1528,236220,examples
1529,236220,examples
1530,236220,test
1531,236220,training
1532,236220,test
1533,236220,examples
1534,236220,training
1535,236220,training
1536,236220,training
1537,236220,training
1538,236220,examples
1539,236220,training
1540,236220,training
1541,236220,examples
1542,236220,validation
1543,236220,test
1544,236220,validation
1545,236220,validation
1546,236220,training
1547,236220,training
1548,236220,examples
1549,236220,examples
1550,236220,validation
1551,236220,training
1552,236220,training
1553,236220,examples
1554,236220,training
1555,236220,examples
1556,236220,training
1557,236220,training
1558,236220,examples
1559,236220,training
1560,236220,training
1561,236220,test
1562,236220,examples
1563,236220,training
1564,236220,test
1565,236220,test
1566,236220,examples
1567,236220,examples
1568,236220,validation
1569,236220,examples
1570,236220,validation
1571,236220,training
1572,236220,training
1573,236220,examples
1574,236220,examples
1575,236220,validation
1576,236220,training
1577,236220,examples
1578,236220,validation
1579,236220,training
1580,236220,examples
1581,236220,test
1582,236220,training
1583,236220,training
1584,236220,examples
1585,236220,training
1586,236220,examples
1587,236220,examples
1588,236220,examples
1589,236220,examples
1590,237110,training
1591,237110,examples
1592,237110,training
1593,237110,examples
1594,237110,training
1595,237110,examples
1596,237110,examples
1597,237110,test
1598,237110,test
1599,237110,training
1600,237110,training
1601,237110,test
1602,237110,examples
1603,237110,test
1604,237110,training
1605,237110,training
1606,237110,training
1607,237110,validation
1608,237110,examples
1609,237110,test
1610,237110,examples
1611,237110,training
1612,237110,training
1613,237110,validation
1614,237110,validation
1615,237110,validation
1616,237110,examples
1617,237110,validation
1618,237110,training
1619,237110,examples
1620,237110,validation
1621,237120,validation
1622,237120,training
1623,237120,examples
1624,237120,validation
1625,237120,test
1626,237120,validation
1627,237120,test
1628,237120,examples
1629,237120,validation
1630,237120,examples
1631,237120,examples
1632,237120,training
1633,237120,test
1634,237120,training
1635,237120,examples
1636,237120,training
1637,237120,training
1638,237120,validation
1639,237120,training
1640,237120,test
1641,237120,training
1642,237120,examples
1643,237120,examples
1644,237120,training
1645,237130,examples
1646,237130,training
1647,237130,examples
1648,237130,training
1649,237130,validation
1650,237130,validation
1651,237130,validation
1652,237130,training
1653,237130,validation
1654,237130,training
1655,237130,test
1656,237130,examples
1657,237130,training
1658,237130,test
1659,237130,training
1660,237130,examples
1661,237130,examples
1662,237130,training
1663,237130,training
1664,237130,validation
1665,237130,test
1666,237130,training
1667,237130,training
1668,237130,examples
1669,237130,test
1670,237130,examples
1671,237130,examples
1672,237130,examples
1673,237130,training
1674,237130,validation
1675,237210,test
1676,237210,validation
1677,237210,examples
1678,237210,test
1679,237210,examples
1680,237210,training
1681,237210,validation
1682,237210,training
1683,237210,examples
1684,237210,training
1685,237210,training
1686,237310,examples
1687,237310,examples
1688,237310,training
1689,237310,validation
1690,237310,examples
1691,237310,examples
1692,237310,training
1693,237310,training
1694,237310,training
1695,237310,test
1696,237310,validation
1697,237310,validation
1698,237310,training
1699,237310,test
1700,237310,training
1701,237310,examples
1702,237310,training
1703,237310,validation
1704,237310,training
1705,237310,test
1706,237310,validation
1707,237310,examples
1708,237310,examples
1709,237310,validation
1710,237310,validation
1711,237310,validation
1712,237310,test
1713,237310,training
1714,237310,examples
1715,237310,training
1716,237310,examples
1717,237310,test
1718,237310,examples
1719,237310,training
1720,237310,training
1721,237310,examples
1722,237310,test
1723,237310,training
1724,237990,examples
1725,237990,validation
1726,237990,examples
1727,237990,test
1728,237990,examples
1729,237990,test
1730,237990,test
1731,237990,validation
1732,237990,training
1733,237990,training
1734,237990,training
1735,237990,examples
1736,237990,training
1737,237990,training
1738,237990,examples
1739,237990,examples
1740,237990,training
1741,237990,test
1742,237990,test
1743,237990,training
1744,237990,training
1745,237990,examples
1746,237990,test
1747,237990,training
1748,237990,examples
1749,237990,examples
1750,237990,examples
1751,237990,examples
1752,237990,validation
1753,237990,training
1754,237990,examples
1755,237990,validation
1756,237990,validation
1757,237990,training
1758,237990,examples
1759,237990,training
1760,237990,validation
1761,237990,training
